purchase_date,type,capture_date,energy,warranty_date
2010-06-15,Fridge,2013-06-15,.030,
2010-09-06,Dish Washer,2013-09-06,.154,
2012-09-15,Wine Cellar,2015-09-15,.007,
2013-04-13,Wine Cellar,2017-04-13,.088,
2016-07-12,Wine Cellar,2020-07-12,.017,
2012-10-01,Fridge,2015-10-01,.059,
2013-06-29,Wine Cellar,2015-06-29,.110,
2015-08-25,Wine Cellar,2018-08-25,.008,
2011-10-02,Furnace,2013-10-02,.021,
2010-01-07,Furnace,2012-01-07,.268,
2011-08-28,Microwave,2014-08-28,.040,
2012-07-26,Furnace,2015-07-26,.133,
2014-01-06,Garage door,2017-01-06,.014,
2013-05-15,Furnace,2015-05-15,.029,
2015-11-20,Dish Washer,2019-11-20,.438,
2012-10-31,Furnace,2015-10-31,.320,
2010-10-02,Microwave,2014-10-02,.004,
2013-01-05,Microwave,2015-01-05,.004,
2012-09-06,Garage door,2016-09-06,.019,
2013-03-27,Microwave,2015-03-27,.004,
2010-11-24,Dish Washer,2014-11-24,.001,
2010-01-12,Microwave,2012-01-12,.004,
2010-05-12,Fridge,2014-05-12,.147,
2012-10-26,Furnace,2016-10-26,.215,
2013-08-11,Fridge,2015-08-11,.079,
2013-12-06,Furnace,2016-12-06,.198,
2013-08-11,Wine Cellar,2016-08-11,.012,
2013-04-09,Wine Cellar,2015-04-09,.009,
2014-02-06,Dish Washer,2018-02-06,.001,
2013-09-16,Furnace,2016-09-16,.021,
2011-12-26,Fridge,2015-12-26,.011,
2010-10-29,Fridge,2012-10-29,.076,
2013-05-10,Wine Cellar,2017-05-10,.135,
2015-03-04,Fridge,2019-03-04,.005,
2011-12-14,Microwave,2014-12-14,.004,
2016-05-19,Fridge,2020-05-19,.097,
2012-07-14,Garage door,2016-07-14,.013,
2011-11-10,Microwave,2015-11-10,.004,
2012-04-04,Furnace,2015-04-04,.020,
2013-10-09,Fridge,2015-10-09,.161,
2013-02-04,Dish Washer,2016-02-04,.001,
2012-07-24,Fridge,2014-07-24,.061,
2013-12-11,Furnace,2015-12-11,.199,
2010-06-04,Wine Cellar,2013-06-04,.007,
2013-09-24,Dish Washer,2017-09-24,.001,
2011-10-31,Furnace,2015-10-31,.020,
2011-03-13,Furnace,2015-03-13,.128,
2015-08-31,Dish Washer,2019-08-31,.001,
2012-07-20,Microwave,2015-07-20,.004,
2010-05-23,Wine Cellar,2014-05-23,.008,
2010-11-24,Garage door,2014-11-24,.014,
2013-08-13,Furnace,2017-08-13,.019,
2011-11-20,Dish Washer,2015-11-20,.001,
2010-07-10,Furnace,2013-07-10,.409,
2011-12-20,Garage door,2013-12-20,.013,
2011-07-24,Fridge,2014-07-24,.113,
2013-05-06,Fridge,2016-05-06,.132,
2013-11-17,Dish Washer,2017-11-17,.030,
2014-09-23,Furnace,2017-09-23,.020,
2013-01-15,Furnace,2017-01-15,.027,
2013-10-31,Fridge,2015-10-31,.131,
2016-11-10,Microwave,2020-11-10,.016,
2014-03-01,Dish Washer,2017-03-01,.420,
2013-03-29,Fridge,2015-03-29,.126,
2012-06-13,Furnace,2016-06-13,.040,
2014-12-26,Dish Washer,2018-12-26,.001,
2014-11-03,Microwave,2018-11-03,.022,
2011-09-07,Wine Cellar,2013-09-07,.007,
2012-11-13,Wine Cellar,2015-11-13,.007,
2010-10-15,Furnace,2013-10-15,.020,
2015-04-20,Dish Washer,2018-04-20,.001,
2013-12-31,Dish Washer,2015-12-31,.001,
2014-07-04,Furnace,2017-07-04,.038,
2016-03-22,Microwave,2020-03-22,.003,
2010-07-19,Dish Washer,2014-07-19,.233,
2013-02-03,Garage door,2017-02-03,.014,
2012-06-10,Wine Cellar,2014-06-10,.043,
2014-01-07,Garage door,2017-01-07,.013,
2015-08-28,Furnace,2019-08-28,.130,
2014-09-04,Wine Cellar,2016-09-04,.008,
2014-10-03,Wine Cellar,2018-10-03,.067,
2015-03-12,Furnace,2017-03-12,.021,
2012-08-07,Microwave,2015-08-07,.004,
2010-08-18,Wine Cellar,2014-08-18,.007,
2014-04-03,Furnace,2018-04-03,.020,
2011-04-15,Fridge,2015-04-15,.049,
2011-10-18,Fridge,2015-10-18,.062,
2010-09-07,Furnace,2014-09-07,.011,
2013-04-05,Fridge,2015-04-05,.132,
2013-09-20,Furnace,2015-09-20,.346,
2014-06-26,Garage door,2017-06-26,.013,
2015-01-15,Garage door,2019-01-15,.013,
2011-05-25,Dish Washer,2015-05-25,.148,
2010-03-04,Wine Cellar,2014-03-04,.007,
2011-04-25,Fridge,2014-04-25,.068,
2011-11-07,Garage door,2014-11-07,.012,
2012-05-03,Fridge,2014-05-03,.041,
2010-05-27,Microwave,2014-05-27,.004,
2012-05-01,Dish Washer,2016-05-01,.405,
2010-05-03,Furnace,2014-05-03,.080,
2016-09-14,Furnace,2020-09-14,.197,
2015-10-18,Fridge,2017-10-18,.065,
2016-10-30,Fridge,2018-10-30,.046,
2016-04-23,Garage door,2020-04-23,.013,
2011-08-31,Wine Cellar,2013-08-31,.007,
2013-01-18,Wine Cellar,2017-01-18,.133,
2010-10-27,Dish Washer,2012-10-27,.244,
2011-06-24,Wine Cellar,2015-06-24,.027,
2010-06-19,Microwave,2013-06-19,.004,
2016-06-24,Dish Washer,2020-06-24,.001,
2010-07-25,Microwave,2014-07-25,.004,
2015-04-28,Fridge,2019-04-28,.053,
2013-07-08,Furnace,2017-07-08,.021,
2015-11-10,Fridge,2018-11-10,.038,
2012-04-11,Garage door,2014-04-11,.013,
2013-03-17,Wine Cellar,2015-03-17,.154,
2011-11-14,Dish Washer,2013-11-14,.232,
2012-06-20,Furnace,2016-06-20,.202,
2016-07-20,Microwave,2018-07-20,.063,
2012-07-16,Wine Cellar,2015-07-16,.142,
2013-07-09,Furnace,2015-07-09,.026,
2014-12-02,Furnace,2018-12-02,.020,
2012-03-01,Fridge,2016-03-01,.127,
2010-06-16,Wine Cellar,2013-06-16,.007,
2010-06-11,Wine Cellar,2013-06-11,.066,
2011-11-15,Furnace,2015-11-15,.180,
2011-08-28,Fridge,2015-08-28,.014,
2010-04-23,Furnace,2012-04-23,.040,
2011-07-05,Microwave,2015-07-05,.004,
2016-03-30,Fridge,2019-03-30,.042,
2016-02-17,Furnace,2018-02-17,.021,
2013-04-19,Furnace,2015-04-19,.059,
2010-08-17,Wine Cellar,2013-08-17,.116,
2011-09-07,Dish Washer,2015-09-07,.034,
2013-12-17,Dish Washer,2016-12-17,.001,
2015-02-09,Microwave,2019-02-09,.003,
2016-08-04,Microwave,2020-08-04,.011,
2015-12-10,Dish Washer,2019-12-10,.001,
2016-06-14,Wine Cellar,2020-06-14,.047,
2013-12-31,Microwave,2016-12-31,.004,
2012-09-25,Dish Washer,2014-09-25,.001,
2012-03-03,Wine Cellar,2015-03-03,.007,
2011-01-12,Furnace,2013-01-12,.063,
2013-07-04,Dish Washer,2017-07-04,.054,
2010-10-19,Wine Cellar,2014-10-19,.132,
2011-09-29,Dish Washer,2013-09-29,.001,
2012-11-09,Fridge,2015-11-09,.049,
2013-10-08,Wine Cellar,2015-10-08,.055,
2015-04-12,Microwave,2019-04-12,.003,
2013-12-07,Furnace,2016-12-07,.250,
2016-01-11,Fridge,2019-01-11,.005,
2014-09-30,Furnace,2017-09-30,.021,
2012-05-31,Wine Cellar,2015-05-31,.007,
2010-01-22,Wine Cellar,2013-01-22,.007,
2010-05-28,Dish Washer,2013-05-28,.001,
2013-08-30,Fridge,2017-08-30,.056,
2015-05-05,Wine Cellar,2018-05-05,.147,
2016-11-17,Fridge,2020-11-17,.040,
2011-12-18,Microwave,2014-12-18,.017,
2015-12-06,Garage door,2018-12-06,.013,
2013-10-24,Fridge,2015-10-24,.053,
2013-10-19,Wine Cellar,2015-10-19,.129,
2013-01-20,Microwave,2015-01-20,.003,
2011-09-17,Furnace,2013-09-17,.020,
2012-08-14,Furnace,2014-08-14,.021,
2014-07-19,Fridge,2018-07-19,.077,
2015-09-03,Dish Washer,2018-09-03,.001,
2013-09-05,Dish Washer,2015-09-05,.248,
2010-05-27,Fridge,2012-05-27,.082,
2015-01-18,Garage door,2019-01-18,.020,
2011-05-21,Dish Washer,2014-05-21,.408,
2015-01-21,Fridge,2019-01-21,.005,
2015-09-19,Garage door,2018-09-19,.013,
2013-03-05,Furnace,2016-03-05,.158,
2011-12-07,Furnace,2013-12-07,.049,
2014-10-08,Fridge,2018-10-08,.137,
2013-08-31,Dish Washer,2016-08-31,.001,
2013-07-09,Dish Washer,2017-07-09,.001,
2012-12-19,Furnace,2014-12-19,.021,
2015-12-13,Fridge,2019-12-13,.039,
2010-07-23,Wine Cellar,2012-07-23,.007,
2010-02-16,Fridge,2014-02-16,.088,
2016-06-27,Wine Cellar,2020-06-27,.020,
2010-10-01,Fridge,2012-10-01,.054,
2015-05-28,Fridge,2019-05-28,.085,
2014-06-16,Garage door,2018-06-16,.013,
2011-04-24,Furnace,2015-04-24,.020,
2016-11-13,Fridge,2018-11-13,.005,
2015-09-02,Microwave,2019-09-02,.003,
2014-03-04,Microwave,2018-03-04,.004,
2012-12-06,Wine Cellar,2016-12-06,.024,
2013-11-21,Furnace,2015-11-21,.035,
2014-12-04,Wine Cellar,2018-12-04,.062,
2016-10-26,Microwave,2019-10-26,.051,
2013-04-05,Wine Cellar,2015-04-05,.149,
2013-06-05,Wine Cellar,2017-06-05,.008,
2012-01-14,Garage door,2016-01-14,.015,
2015-07-29,Garage door,2017-07-29,.017,
2014-01-27,Microwave,2017-01-27,.022,
2015-06-09,Fridge,2018-06-09,.068,
2014-09-19,Wine Cellar,2018-09-19,.042,
2011-06-06,Microwave,2013-06-06,.024,
2011-07-06,Dish Washer,2014-07-06,.001,
2015-02-01,Wine Cellar,2019-02-01,.132,
2016-10-13,Wine Cellar,2019-10-13,.016,
2012-06-29,Garage door,2015-06-29,.015,
2010-10-19,Furnace,2013-10-19,.228,
2014-10-23,Dish Washer,2017-10-23,.001,
2013-02-09,Fridge,2017-02-09,.049,
2012-11-25,Fridge,2016-11-25,.043,
2015-01-15,Fridge,2018-01-15,.057,
2010-07-29,Wine Cellar,2013-07-29,.009,
2014-01-11,Dish Washer,2018-01-11,.001,
2010-07-12,Fridge,2012-07-12,.041,
2013-04-18,Dish Washer,2016-04-18,.014,
2012-06-03,Wine Cellar,2016-06-03,.007,
2011-08-02,Furnace,2013-08-02,.020,
2014-12-12,Fridge,2016-12-12,.081,
2010-12-20,Dish Washer,2014-12-20,.001,
2016-09-09,Wine Cellar,2018-09-09,.016,
2016-02-11,Microwave,2018-02-11,.003,
2012-12-22,Fridge,2015-12-22,.060,
2013-04-20,Wine Cellar,2017-04-20,.105,
2010-09-12,Wine Cellar,2012-09-12,.007,
2014-07-16,Garage door,2018-07-16,.013,
2011-01-08,Dish Washer,2013-01-08,.001,
2013-05-15,Dish Washer,2015-05-15,.001,
2014-09-07,Garage door,2017-09-07,.013,
2015-03-02,Dish Washer,2019-03-02,.010,
2011-09-29,Wine Cellar,2015-09-29,.012,
2014-07-11,Dish Washer,2018-07-11,.001,
2011-01-16,Furnace,2014-01-16,.196,
2012-05-02,Furnace,2015-05-02,.021,
2015-08-06,Furnace,2018-08-06,.080,
2013-04-26,Furnace,2017-04-26,.020,
2014-12-04,Dish Washer,2016-12-04,.001,
2011-08-15,Furnace,2015-08-15,.032,
2014-07-07,Garage door,2017-07-07,.014,
2010-09-15,Furnace,2014-09-15,.299,
2015-07-13,Wine Cellar,2019-07-13,.021,
2010-10-25,Fridge,2012-10-25,.040,
2012-03-24,Dish Washer,2015-03-24,.001,
2012-10-07,Dish Washer,2015-10-07,.001,
2014-10-03,Fridge,2016-10-03,.079,
2015-01-10,Furnace,2018-01-10,.020,
2010-06-08,Fridge,2013-06-08,.126,
2012-02-02,Wine Cellar,2015-02-02,.021,
2015-03-13,Dish Washer,2019-03-13,.001,
2012-04-08,Furnace,2016-04-08,.020,
2012-02-01,Dish Washer,2015-02-01,.001,
2016-07-11,Furnace,2020-07-11,.023,
2012-03-06,Wine Cellar,2015-03-06,.007,
2013-11-05,Fridge,2017-11-05,.046,
2013-05-03,Fridge,2017-05-03,.162,
2013-06-17,Fridge,2015-06-17,.051,
2016-02-04,Fridge,2019-02-04,.043,
2011-12-31,Furnace,2013-12-31,.098,
2016-09-21,Wine Cellar,2019-09-21,.008,
2014-07-09,Furnace,2018-07-09,.020,
2015-01-21,Furnace,2018-01-21,.020,
2016-07-10,Fridge,2019-07-10,.027,
2012-06-05,Furnace,2014-06-05,.309,
2010-06-18,Dish Washer,2013-06-18,.001,
2010-09-09,Fridge,2012-09-09,.006,
2016-03-08,Fridge,2019-03-08,.042,
2011-04-29,Fridge,2013-04-29,.051,
2015-06-17,Fridge,2018-06-17,.063,
2015-09-20,Microwave,2018-09-20,.039,
2010-11-02,Dish Washer,2012-11-02,.001,
2012-03-20,Wine Cellar,2016-03-20,.019,
2015-08-11,Furnace,2018-08-11,.020,
2011-03-09,Fridge,2013-03-09,.046,
2011-09-11,Fridge,2013-09-11,.065,
2012-09-20,Wine Cellar,2014-09-20,.007,
2013-11-16,Wine Cellar,2017-11-16,.034,
2016-10-10,Fridge,2019-10-10,.052,
2012-08-06,Dish Washer,2015-08-06,.001,
2011-02-20,Garage door,2013-02-20,.019,
2014-05-20,Garage door,2018-05-20,.013,
2011-08-14,Furnace,2014-08-14,.230,
2014-08-06,Fridge,2017-08-06,.090,
2011-08-06,Garage door,2013-08-06,.022,
2015-03-11,Wine Cellar,2019-03-11,.040,
2015-10-17,Garage door,2019-10-17,.013,
2012-08-24,Furnace,2016-08-24,.063,
2010-10-26,Fridge,2013-10-26,.041,
2014-07-02,Furnace,2016-07-02,.020,
2010-04-17,Dish Washer,2013-04-17,.115,
2011-03-16,Dish Washer,2015-03-16,.001,
2014-10-17,Wine Cellar,2016-10-17,.138,
2015-05-08,Wine Cellar,2018-05-08,.120,
2016-01-24,Dish Washer,2019-01-24,.011,
2010-04-02,Wine Cellar,2013-04-02,.007,
2010-11-06,Wine Cellar,2013-11-06,.056,
2012-06-12,Furnace,2016-06-12,.135,
2014-11-13,Furnace,2018-11-13,.021,
2016-11-08,Garage door,2019-11-08,.013,
2011-09-19,Microwave,2013-09-19,.028,
2016-06-05,Furnace,2018-06-05,.201,
2010-01-19,Garage door,2014-01-19,.015,
2015-02-28,Wine Cellar,2019-02-28,.044,
2011-09-20,Fridge,2014-09-20,.110,
2016-01-09,Garage door,2018-01-09,.013,
2015-03-05,Fridge,2019-03-05,.103,
2011-12-01,Microwave,2013-12-01,.004,
2011-01-29,Furnace,2014-01-29,.114,
2015-12-13,Dish Washer,2019-12-13,.001,
2011-11-11,Fridge,2015-11-11,.022,
2010-07-18,Garage door,2013-07-18,.013,
2013-09-13,Dish Washer,2015-09-13,.509,
2014-09-27,Garage door,2016-09-27,.013,
2013-04-16,Microwave,2016-04-16,.003,
2010-12-17,Garage door,2012-12-17,.014,
2014-06-18,Furnace,2016-06-18,.053,
2016-04-13,Garage door,2018-04-13,.013,
2013-06-30,Wine Cellar,2015-06-30,.090,
2011-07-11,Fridge,2013-07-11,.059,
2013-12-20,Microwave,2015-12-20,.004,
2011-09-10,Garage door,2013-09-10,.013,
2015-07-21,Dish Washer,2017-07-21,.001,
2012-12-09,Wine Cellar,2016-12-09,.024,
2010-11-12,Dish Washer,2014-11-12,.001,
2013-12-05,Fridge,2017-12-05,.063,
2011-08-25,Microwave,2015-08-25,.004,
2015-11-23,Furnace,2017-11-23,.325,
2015-03-28,Furnace,2019-03-28,.249,
2015-04-05,Furnace,2017-04-05,.021,
2016-01-31,Fridge,2018-01-31,.042,
2016-03-14,Microwave,2019-03-14,.003,
2012-03-23,Furnace,2015-03-23,.020,
2016-02-21,Garage door,2018-02-21,.014,
2015-04-27,Fridge,2018-04-27,.068,
2013-07-12,Dish Washer,2017-07-12,.001,
2010-06-03,Wine Cellar,2013-06-03,.007,
2011-06-28,Dish Washer,2014-06-28,.001,
2012-04-22,Furnace,2016-04-22,.123,
2011-03-01,Furnace,2015-03-01,.169,
2014-08-02,Fridge,2016-08-02,.074,
2011-05-24,Dish Washer,2014-05-24,.001,
2014-11-03,Furnace,2016-11-03,.021,
2015-11-03,Wine Cellar,2019-11-03,.008,
2010-06-09,Wine Cellar,2014-06-09,.007,
2013-12-15,Dish Washer,2017-12-15,.001,
2012-09-27,Fridge,2016-09-27,.052,
2013-09-04,Fridge,2017-09-04,.110,
2013-12-25,Garage door,2016-12-25,.013,
2011-11-19,Garage door,2015-11-19,.014,
2010-03-20,Furnace,2013-03-20,.054,
2015-06-26,Garage door,2019-06-26,.013,
2010-02-25,Furnace,2014-02-25,.036,
2012-01-17,Garage door,2016-01-17,.013,
2013-02-27,Dish Washer,2017-02-27,.001,
2014-12-18,Wine Cellar,2016-12-18,.077,
2014-10-06,Fridge,2016-10-06,.020,
2016-10-07,Furnace,2018-10-07,.227,
2011-05-17,Dish Washer,2015-05-17,.076,
2010-09-04,Wine Cellar,2012-09-04,.007,
2011-12-14,Wine Cellar,2013-12-14,.069,
2010-03-27,Fridge,2013-03-27,.044,
2011-03-13,Wine Cellar,2014-03-13,.081,
2016-01-30,Wine Cellar,2019-01-30,.008,
2015-02-28,Fridge,2019-02-28,.069,
2010-07-02,Dish Washer,2013-07-02,.001,
2013-09-04,Wine Cellar,2017-09-04,.008,
2014-04-25,Furnace,2018-04-25,.021,
2012-07-07,Garage door,2015-07-07,.015,
2010-05-26,Garage door,2014-05-26,.013,
2012-03-22,Dish Washer,2016-03-22,.001,
2016-05-29,Dish Washer,2018-05-29,.001,
2013-12-27,Dish Washer,2015-12-27,.376,
2011-02-26,Fridge,2013-02-26,.045,
2016-07-02,Garage door,2020-07-02,.021,
2016-08-12,Microwave,2020-08-12,.061,
2016-10-07,Dish Washer,2020-10-07,.001,
2015-08-18,Fridge,2018-08-18,.029,
2015-05-11,Wine Cellar,2018-05-11,.157,
2013-04-11,Furnace,2015-04-11,.020,
2015-02-26,Microwave,2017-02-26,.004,
2011-10-15,Furnace,2014-10-15,.164,
2010-11-09,Dish Washer,2014-11-09,.001,
2014-02-17,Wine Cellar,2017-02-17,.051,
2014-10-26,Fridge,2017-10-26,.083,
2015-07-19,Furnace,2019-07-19,.020,
2012-02-15,Wine Cellar,2015-02-15,.007,
2014-04-21,Furnace,2017-04-21,.029,
2011-06-02,Garage door,2015-06-02,.015,
2012-06-14,Fridge,2016-06-14,.011,
2013-09-11,Wine Cellar,2015-09-11,.050,
2014-09-08,Furnace,2017-09-08,.020,
2011-04-05,Furnace,2015-04-05,.012,
2016-01-28,Furnace,2019-01-28,.021,
2011-12-27,Garage door,2013-12-27,.015,
2012-02-28,Garage door,2015-02-28,.013,
2013-07-31,Furnace,2016-07-31,.021,
2016-01-01,Furnace,2019-01-01,.020,
2012-05-22,Wine Cellar,2014-05-22,.069,
2016-07-13,Fridge,2019-07-13,.032,
2011-11-15,Garage door,2014-11-15,.013,
2012-01-31,Furnace,2015-01-31,.189,
2013-06-27,Dish Washer,2015-06-27,.001,
2015-02-23,Fridge,2017-02-23,.005,
2016-03-17,Wine Cellar,2020-03-17,.035,
2012-12-27,Furnace,2014-12-27,.020,
2016-04-03,Fridge,2019-04-03,.062,
2016-07-08,Microwave,2018-07-08,.003,
2016-07-30,Furnace,2018-07-30,.176,
2012-11-10,Fridge,2015-11-10,.061,
2012-07-22,Garage door,2016-07-22,.014,
2010-12-14,Furnace,2014-12-14,.131,
2016-06-06,Furnace,2018-06-06,.019,
2016-02-11,Wine Cellar,2019-02-11,.008,
2012-01-03,Garage door,2014-01-03,.015,
2012-12-12,Furnace,2014-12-12,.152,
2014-02-13,Wine Cellar,2017-02-13,.034,
2010-05-27,Wine Cellar,2013-05-27,.007,
2013-08-05,Garage door,2016-08-05,.015,
2013-11-21,Garage door,2015-11-21,.013,
2010-03-05,Furnace,2013-03-05,.340,
2010-02-10,Dish Washer,2012-02-10,.001,
2012-11-24,Microwave,2015-11-24,.004,
2014-12-06,Microwave,2016-12-06,.004,
2012-04-21,Wine Cellar,2014-04-21,.007,
2013-09-24,Furnace,2016-09-24,.020,
2012-07-02,Dish Washer,2014-07-02,.001,
2010-09-12,Dish Washer,2014-09-12,.001,
2015-11-11,Furnace,2017-11-11,.129,
2013-12-14,Furnace,2016-12-14,.021,
2015-03-12,Garage door,2017-03-12,.013,
2016-03-25,Dish Washer,2019-03-25,.001,
2014-07-14,Fridge,2017-07-14,.088,
2011-03-05,Furnace,2015-03-05,.398,
2016-01-05,Dish Washer,2020-01-05,.001,
2013-03-02,Dish Washer,2016-03-02,.350,
2012-05-27,Fridge,2016-05-27,.193,
2011-04-18,Microwave,2014-04-18,.009,
2015-09-22,Fridge,2019-09-22,.040,
2011-07-18,Furnace,2015-07-18,.209,
2011-12-16,Dish Washer,2014-12-16,.001,
2011-07-07,Garage door,2014-07-07,.013,
2010-05-02,Furnace,2014-05-02,.136,
2015-08-03,Dish Washer,2018-08-03,.382,
2016-05-29,Garage door,2019-05-29,.017,
2013-12-07,Garage door,2016-12-07,.018,
2013-03-13,Microwave,2015-03-13,.004,
2011-03-05,Fridge,2013-03-05,.005,
2012-09-27,Microwave,2014-09-27,.004,
2011-06-12,Dish Washer,2013-06-12,.051,
2012-10-14,Fridge,2015-10-14,.077,
2016-01-24,Wine Cellar,2020-01-24,.008,
2012-04-14,Wine Cellar,2015-04-14,.011,
2010-01-23,Fridge,2013-01-23,.013,
2015-08-08,Garage door,2018-08-08,.015,
2012-04-30,Fridge,2015-04-30,.045,
2014-05-27,Wine Cellar,2017-05-27,.076,
2014-12-28,Furnace,2016-12-28,.020,
2016-02-29,Dish Washer,2018-02-28,.001,
2012-05-19,Dish Washer,2016-05-19,.001,
2010-10-09,Wine Cellar,2013-10-09,.007,
2012-08-09,Furnace,2015-08-09,.020,
2011-09-18,Furnace,2013-09-18,.107,
2015-03-05,Furnace,2019-03-05,.021,
2012-03-18,Wine Cellar,2015-03-18,.085,
2014-09-15,Furnace,2017-09-15,.020,
2011-08-30,Furnace,2015-08-30,.126,
2015-11-02,Fridge,2017-11-02,.034,
2012-09-28,Furnace,2014-09-28,.020,
2016-04-19,Fridge,2020-04-19,.085,
2015-05-19,Furnace,2019-05-19,.021,
2013-01-02,Microwave,2015-01-02,.003,
2012-08-25,Furnace,2016-08-25,.260,
2015-12-21,Garage door,2018-12-21,.015,
2010-05-02,Dish Washer,2013-05-02,.001,
2013-12-21,Fridge,2016-12-21,.078,
2012-08-05,Wine Cellar,2015-08-05,.073,
2013-06-09,Wine Cellar,2017-06-09,.008,
2011-12-08,Furnace,2013-12-08,.029,
2011-08-05,Wine Cellar,2015-08-05,.007,
2016-06-14,Garage door,2020-06-14,.013,
2016-04-27,Microwave,2019-04-27,.074,
2010-08-02,Dish Washer,2013-08-02,.001,
2011-02-17,Wine Cellar,2013-02-17,.007,
2010-11-27,Dish Washer,2014-11-27,.001,
2016-10-12,Garage door,2018-10-12,.013,
2015-07-24,Microwave,2018-07-24,.063,
2015-07-25,Fridge,2019-07-25,.062,
2011-09-19,Garage door,2015-09-19,.013,
2014-02-10,Dish Washer,2017-02-10,.418,
2010-05-31,Dish Washer,2012-05-31,.010,
2016-01-13,Furnace,2019-01-13,.021,
2013-08-18,Wine Cellar,2017-08-18,.092,
2010-01-07,Wine Cellar,2013-01-07,.007,
2011-05-14,Wine Cellar,2013-05-14,.052,
2014-05-14,Wine Cellar,2018-05-14,.016,
2011-11-13,Wine Cellar,2013-11-13,.007,
2010-02-06,Furnace,2013-02-06,.187,
2016-01-04,Fridge,2019-01-04,.005,
2016-02-27,Fridge,2019-02-27,.045,
2013-01-12,Furnace,2016-01-12,.020,
2011-06-20,Microwave,2015-06-20,.004,
2011-05-16,Furnace,2014-05-16,.080,
2010-08-03,Garage door,2012-08-03,.013,
2014-07-31,Garage door,2018-07-31,.013,
2016-03-18,Wine Cellar,2020-03-18,.008,
2011-10-14,Dish Washer,2013-10-14,.017,
2014-07-10,Microwave,2018-07-10,.004,
2014-04-08,Wine Cellar,2017-04-08,.140,
2016-02-27,Furnace,2018-02-27,.020,
2014-06-08,Furnace,2018-06-08,.062,
2016-11-10,Fridge,2020-11-10,.051,
2016-09-09,Microwave,2019-09-09,.003,
2012-06-09,Dish Washer,2015-06-09,.001,
2014-05-03,Furnace,2017-05-03,.021,
2016-10-23,Furnace,2019-10-23,.189,
2012-12-18,Wine Cellar,2015-12-18,.025,
2013-11-12,Fridge,2017-11-12,.069,
2016-02-13,Garage door,2019-02-13,.013,
2012-10-02,Dish Washer,2014-10-02,.001,
2013-11-19,Wine Cellar,2016-11-19,.008,
2012-03-18,Furnace,2014-03-18,.113,
2015-04-22,Fridge,2017-04-22,.108,
2015-03-17,Furnace,2018-03-17,.020,
2016-10-21,Wine Cellar,2018-10-21,.017,
2013-09-12,Furnace,2017-09-12,.119,
2012-01-28,Wine Cellar,2014-01-28,.063,
2010-06-10,Furnace,2013-06-10,.260,
2011-05-03,Wine Cellar,2013-05-03,.007,
2012-06-25,Wine Cellar,2014-06-25,.007,
2011-09-10,Dish Washer,2014-09-10,.176,
2015-06-10,Garage door,2018-06-10,.013,
2014-02-24,Wine Cellar,2016-02-24,.007,
2015-05-03,Fridge,2017-05-03,.006,
2013-02-21,Fridge,2017-02-21,.064,
2013-12-24,Microwave,2016-12-24,.004,
2010-01-20,Dish Washer,2013-01-20,.036,
2016-09-12,Fridge,2020-09-12,.016,
2015-10-19,Garage door,2017-10-19,.013,
2012-03-05,Microwave,2015-03-05,.004,
2012-06-05,Furnace,2016-06-05,.251,
2013-08-14,Wine Cellar,2015-08-14,.066,
2016-10-23,Garage door,2018-10-23,.013,
2014-03-12,Wine Cellar,2017-03-12,.008,
2014-03-14,Fridge,2016-03-14,.005,
2014-05-12,Microwave,2018-05-12,.015,
2012-02-04,Dish Washer,2014-02-04,.001,
2014-12-27,Microwave,2016-12-27,.004,
2010-07-04,Dish Washer,2014-07-04,.001,
2013-04-01,Wine Cellar,2015-04-01,.114,
2014-09-26,Wine Cellar,2018-09-26,.055,
2011-01-07,Wine Cellar,2015-01-07,.012,
2012-09-21,Furnace,2015-09-21,.094,
2013-06-24,Furnace,2015-06-24,.020,
2014-01-10,Furnace,2017-01-10,.215,
2015-08-18,Microwave,2019-08-18,.003,
2016-06-10,Garage door,2018-06-10,.013,
2014-12-08,Fridge,2016-12-08,.076,
2014-11-24,Furnace,2017-11-24,.021,
2011-10-23,Garage door,2014-10-23,.013,
2011-09-10,Furnace,2015-09-10,.083,
2014-11-24,Garage door,2016-11-24,.013,
2013-11-01,Wine Cellar,2017-11-01,.021,
2012-07-09,Wine Cellar,2015-07-09,.007,
2016-01-13,Dish Washer,2018-01-13,.001,
2014-09-15,Garage door,2016-09-15,.013,
2012-04-14,Furnace,2014-04-14,.222,
2012-11-09,Microwave,2014-11-09,.063,
2015-03-21,Dish Washer,2018-03-21,.204,
2015-11-15,Dish Washer,2017-11-15,.001,
2016-08-19,Fridge,2019-08-19,.054,
2010-10-31,Wine Cellar,2013-10-31,.127,
2015-04-08,Furnace,2019-04-08,.021,
2010-03-28,Fridge,2012-03-28,.046,
2015-07-30,Microwave,2019-07-30,.009,
2014-05-11,Fridge,2016-05-11,.047,
2015-03-22,Wine Cellar,2019-03-22,.044,
2012-09-21,Microwave,2014-09-21,.008,
2010-02-08,Garage door,2012-02-08,.013,
2010-07-08,Fridge,2014-07-08,.050,
2010-10-02,Garage door,2014-10-02,.015,
2015-04-30,Garage door,2018-04-30,.013,
2016-07-30,Fridge,2018-07-30,.049,
2012-02-21,Furnace,2014-02-21,.292,
2012-02-04,Wine Cellar,2014-02-04,.007,
2010-12-12,Wine Cellar,2012-12-12,.007,
2012-01-02,Fridge,2016-01-02,.005,
